@relation rekrut1

@attribute function {'Conseillers Technicocommerciaux pour un oprateur tlphonique dimanche fixe','Administrative Assistant','Charg de clientle en agence Mohammedia','Tlconseiller en prise des Rdvs Panneau Photovoltaque Dbutant ou Expriment HF','Conseillers Commerciaux pour un nouveau projet Dimanche fixe','Technicienne Mtreur Btiment','Administrateur IT','Assistante RH','Conseiller Technique de Vente en climatisation HF','Charge de Clientle  centre dappel','Charg de Clientle Avec Caisse','Ingnieur dtudes Eau potable et Assainissement','Ingnieur Agronome Gnie Rural','Charg de Conduite dActivit HF','Technical Sales Consulting in Air Conditioning HF','Night Auditeur','Tlconseiller en prise des Rdvs rnovations dampleur Dbutant ou Expriment HF Tanger','Technicien Gologue','Ingnieur dtudes en Amnagement Urbain','Process Technicain','Acheteur HF Mission de 3 mois','Technicienne Helpdesk  assistance technique','Technicien en lectromcanique','Back Office Specialist with Spanish','Sales Support','Charg de clientle en agence AL HOCEIMA','Ingnieur Etude et Dveloppement Hispanophone','Stagiaire en Recrutement','Service Desk Agent Germanoanglophones','Techniciene en Mtallurgie','Support Client Bilingue Shift de Nuit pour un Nouveau Projet Financier','Tlvendeurs en mission dappels Yaacoub El Mansour Casablanca','Conseillers Clients en Assistance Technique Primes dplafonnes  Challenges  Tombola  Animation','Contrleur de Gestion HF','Data Scientist SIRH','Technicienne Helpdesk N2','Animateur de vente en magasin','Service Desk Agent with French','Attach Pdagogique Polyvalent','Commercial terrain B2B  TANGER','Charge de Service Human Capital  HF','Technicien Supervision','Conseiller Clientle  Experte en Relations Client','Charge de Clientle  Ple Relation Client','Risk Management Specialist','Assistante Achat Mission de 3 mois','Coordinatrice Communication','Tlconseillers spcialiss en assistance technique','Technicien Support Informatique','Stage en testing HF','Stagiaire en Dveloppement PHP HF  Casablanca','Stagiaire Ingnieur IA HF','Stagiaire en Dveloppement JAVA HF','Commercial terrain B2B  TEMARA','Business Analyst Pricing HF','Stagiaire Comptabilit HF','Agent HelpDesk Italophone','Assistant e Moyens Gnraux','Charge de Clientle  Tlvendeur se','Service Desk Spanish','Customer Service Agent  Arabic English speaker','Consultant digital close','Charge de Recrutement','Charg e des Systmes dinformation et de la digitalisation','Agents de Dveloppement','Credit Analyst Back Office','Approvisionneur Italophone','Agent Commercial HF','Ingnieur AI',Actuaire,'Assistant Analyse des Ventes','Stagiaire Archiviste','ENERGY COMPLIANCE ANALYST','Acheteur Intrants Production'}
@attribute niveauEtude {'Bac ',Bac,Bac+3,Bac+2,Bac+5,Bac+4}
@attribute niveauExperience numeric
@attribute activity {'Centre d\'appel Banque - Finance Informatique Communication - Evénementiel Centre d\'appel Centre d\'appel BTP - Génie Civil Agence pub - Marketing Direct Enseignement - Formation Centre d\'appel Autres services Energie Autres Industries Centre d\'appel Offshoring - Nearshoring','Centre d\'appel','Banque - Finance Informatique','Communication - Evénementiel','BTP - Génie Civil','Agence pub - Marketing Direct Enseignement - Formation','Centre d\'appel Autres services','Energie Autres Industries','Centre d\'appel Offshoring - Nearshoring','Banque - Finance BTP - Génie Civil Conseil - Etudes BTP - Génie Civil Centre d\'appel Telecom Energie Autres Industries Hôtellerie - Restauration Centre d\'appel BTP - Génie Civil Autres Industries Agriculture - Environnement BTP - Génie Civil Electro-mécanique - Mécanique','Banque - Finance','BTP - Génie Civil Conseil - Etudes','Centre d\'appel Telecom','Hôtellerie - Restauration','BTP - Génie Civil Autres Industries','Agriculture - Environnement BTP - Génie Civil','Electro-mécanique - Mécanique','Autres Industries Informatique Agroalimentaire Indifférent Autres Industries Autres services Internet - Multimédia Telecom Communication - Evénementiel Informatique Recrutement - Intérim Centre d\'appel Chimie - Parachimie - Peintures Extraction - Mines','Autres Industries',Informatique,'Agroalimentaire Indifférent','Autres Industries Autres services','Internet - Multimédia Telecom','Recrutement - Intérim','Chimie - Parachimie - Peintures Extraction - Mines','Centre d\'appel Informatique Informatique Offshoring - Nearshoring Offshoring - Nearshoring Comptabilité - Audit Centre d\'appel Offshoring - Nearshoring Assurance - Courtage Conseil - Etudes Centre d\'appel Offshoring - Nearshoring Centre d\'appel Informatique','Offshoring - Nearshoring','Comptabilité - Audit','Assurance - Courtage Conseil - Etudes','Centre d\'appel Informatique','Distribution Distribution Distribution Distribution Centre d\'appel Autres services Enseignement - Formation Communication - Evénementiel Centre d\'appel Offshoring - Nearshoring Offshoring - Nearshoring Autres services Banque - Finance Informatique',Distribution,'Enseignement - Formation','Offshoring - Nearshoring Autres services','Centre d\'appel Offshoring - Nearshoring Centre d\'appel Offshoring - Nearshoring Centre d\'appel Centre d\'appel Centre d\'appel Offshoring - Nearshoring Centre d\'appel Offshoring - Nearshoring Autres Industries Communication - Evénementiel Agroalimentaire Indifférent','Agroalimentaire Indifférent Centre d\'appel Informatique Informatique Informatique Informatique Informatique Communication - Evénementiel Distribution Comptabilité - Audit','Informatique Métallurgie - Sidérurgie Centre d\'appel Offshoring - Nearshoring Centre d\'appel Informatique Centre d\'appel Informatique Banque - Finance Recrutement - Intérim Informatique Banque - Finance Comptabilité - Audit Assurance - Courtage Banque - Finance','Métallurgie - Sidérurgie','Banque - Finance Comptabilité - Audit','Assurance - Courtage Banque - Finance','Autres Industries Banque - Finance Autres Industries Assurance - Courtage Distribution Banque - Finance Conseil - Etudes Energie Agriculture - Environnement Agroalimentaire','Assurance - Courtage','Conseil - Etudes Energie','Agriculture - Environnement Agroalimentaire'}

@data
'Conseillers Technicocommerciaux pour un oprateur tlphonique dimanche fixe','Bac ',1,'Centre d\'appel Banque - Finance Informatique Communication - Evénementiel Centre d\'appel Centre d\'appel BTP - Génie Civil Agence pub - Marketing Direct Enseignement - Formation Centre d\'appel Autres services Energie Autres Industries Centre d\'appel Offshoring - Nearshoring'
'Conseillers Technicocommerciaux pour un oprateur tlphonique dimanche fixe',Bac,1,'Centre d\'appel'
'Administrative Assistant',Bac+3,1,'Banque - Finance Informatique'
'Charg de clientle en agence Mohammedia',Bac+2,1,'Communication - Evénementiel'
'Tlconseiller en prise des Rdvs Panneau Photovoltaque Dbutant ou Expriment HF',Bac,1,'Centre d\'appel'
'Conseillers Commerciaux pour un nouveau projet Dimanche fixe',Bac,1,'Centre d\'appel'
'Technicienne Mtreur Btiment',Bac+2,1,'BTP - Génie Civil'
'Administrateur IT',Bac+3,1,'Agence pub - Marketing Direct Enseignement - Formation'
'Assistante RH',Bac+5,1,'Centre d\'appel Autres services'
'Conseiller Technique de Vente en climatisation HF',Bac+3,1,'Energie Autres Industries'
'Charge de Clientle  centre dappel',Bac,1,'Centre d\'appel Offshoring - Nearshoring'
'Charg de Clientle Avec Caisse',Bac+3,1,'Banque - Finance BTP - Génie Civil Conseil - Etudes BTP - Génie Civil Centre d\'appel Telecom Energie Autres Industries Hôtellerie - Restauration Centre d\'appel BTP - Génie Civil Autres Industries Agriculture - Environnement BTP - Génie Civil Electro-mécanique - Mécanique'
'Charg de Clientle Avec Caisse',Bac+3,1,'Banque - Finance'
'Ingnieur dtudes Eau potable et Assainissement',Bac+5,1,'BTP - Génie Civil Conseil - Etudes'
'Ingnieur Agronome Gnie Rural',Bac+5,1,'BTP - Génie Civil'
'Charg de Conduite dActivit HF',Bac,1,'Centre d\'appel Telecom'
'Technical Sales Consulting in Air Conditioning HF',Bac+3,1,'Energie Autres Industries'
'Night Auditeur',Bac+2,1,'Hôtellerie - Restauration'
'Tlconseiller en prise des Rdvs rnovations dampleur Dbutant ou Expriment HF Tanger',Bac,1,'Centre d\'appel'
'Technicien Gologue',Bac+2,1,'BTP - Génie Civil Autres Industries'
'Ingnieur dtudes en Amnagement Urbain',Bac+5,1,'Agriculture - Environnement BTP - Génie Civil'
'Process Technicain',Bac+3,1,'Electro-mécanique - Mécanique'
'Acheteur HF Mission de 3 mois',Bac+5,1,'Autres Industries Informatique Agroalimentaire Indifférent Autres Industries Autres services Internet - Multimédia Telecom Communication - Evénementiel Informatique Recrutement - Intérim Centre d\'appel Chimie - Parachimie - Peintures Extraction - Mines'
'Acheteur HF Mission de 3 mois',Bac+5,1,'Autres Industries'
'Technicienne Helpdesk  assistance technique',Bac+2,1,Informatique
'Technicien en lectromcanique',Bac+2,1,'Agroalimentaire Indifférent'
'Back Office Specialist with Spanish',Bac+3,1,'Autres Industries Autres services'
'Sales Support',Bac+4,1,'Internet - Multimédia Telecom'
'Charg de clientle en agence AL HOCEIMA',Bac+2,1,'Communication - Evénementiel'
'Ingnieur Etude et Dveloppement Hispanophone',Bac+4,1,Informatique
'Stagiaire en Recrutement',Bac+3,1,'Recrutement - Intérim'
'Service Desk Agent Germanoanglophones',Bac+2,1,'Centre d\'appel'
'Techniciene en Mtallurgie',Bac+2,1,'Chimie - Parachimie - Peintures Extraction - Mines'
'Support Client Bilingue Shift de Nuit pour un Nouveau Projet Financier','Bac ',1,'Centre d\'appel Informatique Informatique Offshoring - Nearshoring Offshoring - Nearshoring Comptabilité - Audit Centre d\'appel Offshoring - Nearshoring Assurance - Courtage Conseil - Etudes Centre d\'appel Offshoring - Nearshoring Centre d\'appel Informatique'
'Support Client Bilingue Shift de Nuit pour un Nouveau Projet Financier',Bac,1,'Centre d\'appel'
'Ingnieur Etude et Dveloppement Hispanophone',Bac+4,1,Informatique
'Ingnieur Etude et Dveloppement Hispanophone',Bac+4,1,Informatique
'Tlvendeurs en mission dappels Yaacoub El Mansour Casablanca',Bac,1,'Offshoring - Nearshoring'
'Conseillers Clients en Assistance Technique Primes dplafonnes  Challenges  Tombola  Animation',Bac,1,'Offshoring - Nearshoring'
'Contrleur de Gestion HF',Bac+5,1,'Comptabilité - Audit'
'Charge de Clientle  centre dappel',Bac,1,'Centre d\'appel Offshoring - Nearshoring'
'Data Scientist SIRH',Bac+5,1,'Assurance - Courtage Conseil - Etudes'
'Charge de Clientle  centre dappel',Bac,1,'Centre d\'appel Offshoring - Nearshoring'
'Technicienne Helpdesk N2',Bac+2,1,'Centre d\'appel Informatique'
'Animateur de vente en magasin',Bac+2,1,'Distribution Distribution Distribution Distribution Centre d\'appel Autres services Enseignement - Formation Communication - Evénementiel Centre d\'appel Offshoring - Nearshoring Offshoring - Nearshoring Autres services Banque - Finance Informatique'
'Animateur de vente en magasin',Bac+2,1,Distribution
'Animateur de vente en magasin',Bac+2,1,Distribution
'Animateur de vente en magasin',Bac+2,1,Distribution
'Animateur de vente en magasin',Bac+2,1,Distribution
'Service Desk Agent with French',Bac+3,1,'Centre d\'appel Autres services'
'Attach Pdagogique Polyvalent',Bac+3,1,'Enseignement - Formation'
'Commercial terrain B2B  TANGER',Bac+2,1,'Communication - Evénementiel'
'Charge de Clientle  centre dappel',Bac,1,'Centre d\'appel Offshoring - Nearshoring'
'Charge de Service Human Capital  HF',Bac+3,1,'Offshoring - Nearshoring Autres services'
